participant_id,age,age_20_or_above,gender,race_ethnicity,first_generation,family_income_bracket,pell_grant,loan_status,dependent_care,institution_control,institution_selectivity,tuition_fees_thousand,major_group,commute_minutes,hs_gpa,english_proficiency,remedial_coursework,enrollment_status,enrollment_units,credits_attempted,credits_earned,course_completion_rate,off_campus_work_hours,high_work_intensity,oncampus_work_hours,total_work_hours,job_related_to_major,schedule_variability,schedule_control,study_hours_per_week,sleep_hours,fin_strain_pay_tuition,fin_strain_living_costs,fin_strain_food_housing,fin_strain_need_work_income,engage_study_effort,engage_class_attendance,engage_class_participation,engage_faculty_contact,engage_peer_learning,support_advising_quality,support_faculty_care,support_belonging,support_resource_use,efficacy_manage_time,efficacy_complete_assignments,efficacy_ask_for_help,efficacy_recover_setbacks,work_conflict_missed_study,work_conflict_schedule_overlap,work_conflict_tired_in_class,work_conflict_missed_campus,work_value_applies_learning,work_value_career_skills,work_value_professional_network,work_value_motivation,wellbeing_stress,wellbeing_exhaustion,wellbeing_sleep_problems,wellbeing_overwhelmed,financial_strain_index,academic_engagement_index,institution_support_index,self_efficacy_index,work_academic_conflict_index,work_career_value_index,mental_strain_index,term_gpa,cumulative_gpa,persistence_score,enrolled_next_year,not_persisted
134,18,0,man,multiracial_or_other,0,middle,0,0,0,private_nonprofit,minimally_selective,5.2,arts_humanities,23,3.17,3.57,0,full_time,10.1,10.1,8.5,0.845,14,0,0,14,0,3,2,8.5,6.6,4,2,3,4,3,1,2,2,3,5,5,5,4,3,3,2,2,3,2,4,4,3,3,2,2,2,2,1,3,3.25,2.2,4.75,2.5,3.25,2.5,2.0,2.95,2.89,3.38,1,0
135,19,0,man,hispanic_latino,0,middle,0,0,0,public,minimally_selective,5.4,health,36,3.14,4.45,0,full_time,14.4,14.4,14.4,1.0,8,0,0,8,0,3,5,19.9,8.7,1,2,3,2,5,4,5,3,5,4,3,4,4,5,5,5,4,1,3,3,1,1,3,3,3,3,2,1,4,2.0,4.4,3.75,4.75,2.0,2.5,2.5,4.0,3.49,4.26,1,0
136,18,0,man,hispanic_latino,1,high,0,0,0,public,minimally_selective,5.3,stem,37,3.17,3.06,1,full_time,14.3,14.3,9.7,0.678,17,0,0,17,0,3,2,9.4,6.5,1,3,3,3,2,3,3,3,2,4,3,5,5,3,4,3,3,4,3,2,2,1,2,3,1,3,3,4,5,2.5,2.6,4.25,3.25,2.75,1.75,3.75,2.58,2.88,3.49,1,0
137,34,1,man,white,1,low,1,0,0,public,minimally_selective,4.2,other,40,2.79,3.44,0,full_time,13.5,13.5,9.7,0.718,24,1,9,33,1,3,2,5.8,6.7,2,2,3,3,4,2,5,4,3,2,1,2,2,4,4,3,3,3,3,3,3,4,4,5,5,2,3,2,2,2.5,3.6,1.75,3.5,3.0,4.5,2.25,2.48,2.76,3.34,0,1
138,23,1,woman,multiracial_or_other,1,low,0,1,0,public,open_access,7.0,business,27,3.16,4.33,0,full_time,11.3,11.3,8.7,0.773,31,1,8,39,1,2,3,4.8,5.7,4,4,4,3,4,1,3,4,3,3,2,3,3,3,3,4,3,3,3,5,1,4,2,4,2,3,4,4,3,3.75,3.0,2.75,3.25,3.0,3.0,3.5,2.19,2.66,3.18,1,0
139,19,0,man,white,0,middle,0,1,0,public,open_access,6.4,other,33,2.09,3.38,0,part_time,9.7,9.7,6.9,0.708,40,1,0,40,1,3,4,7.6,5.8,4,3,5,2,3,4,3,2,2,2,4,3,5,3,3,4,3,4,4,5,5,4,3,2,5,3,4,4,4,3.5,2.8,3.5,3.25,4.5,3.5,3.75,1.41,1.5,2.54,1,0
140,18,0,woman,black,1,low,1,1,1,public,highly_selective,6.2,stem,22,3.57,5.0,0,full_time,12.1,12.1,10.4,0.86,21,1,0,21,0,2,5,4.5,6.8,4,4,4,3,2,3,4,2,4,4,4,4,3,3,2,3,4,2,4,4,1,4,4,5,4,3,2,3,4,3.75,3.0,3.75,3.0,2.75,4.25,3.0,3.33,3.58,3.55,1,0
141,20,1,woman,white,0,high,0,0,1,private_for_profit,open_access,4.8,health,16,3.09,3.4,0,part_time,12.9,12.9,12.4,0.963,25,1,0,25,0,4,2,10.4,7.8,1,2,1,1,5,3,5,4,5,5,5,2,5,2,2,4,4,3,2,4,4,5,5,5,5,2,2,1,2,1.25,4.4,4.25,3.0,3.25,5.0,1.75,3.48,3.39,4.31,1,0
142,18,0,woman,asian,1,high,0,0,0,public,moderately_selective,6.9,health,26,2.24,2.95,1,full_time,13.4,13.4,10.1,0.75,20,0,0,20,0,1,5,4.4,6.5,2,3,1,3,2,2,3,4,3,2,3,2,2,2,2,2,1,2,3,4,2,3,1,1,1,2,2,1,1,2.25,2.8,2.25,1.75,2.75,1.5,1.5,2.03,1.88,3.24,0,1
143,24,1,woman,hispanic_latino,0,middle,1,1,0,public,highly_selective,6.7,stem,24,3.72,3.59,0,full_time,17.5,17.5,15.1,0.86,29,1,3,32,0,3,3,10.1,5.3,5,4,4,3,4,3,4,4,4,3,2,2,2,4,5,5,4,2,3,5,4,3,2,2,2,4,5,3,3,4.0,3.8,2.25,4.5,3.5,2.25,3.75,3.69,3.6,3.62,1,0
144,24,1,woman,white,0,high,0,1,0,public,moderately_selective,6.4,social_science,27,3.05,4.02,1,full_time,13.0,13.0,10.5,0.804,36,1,0,36,0,4,4,8.5,5.0,3,3,2,3,3,4,4,2,3,1,1,1,3,2,4,4,5,5,4,3,4,3,3,3,3,3,4,3,1,2.75,3.2,1.5,3.75,4.0,3.0,2.75,2.27,2.38,3.35,1,0
145,22,1,woman,white,0,high,0,1,0,public,minimally_selective,5.5,health,51,2.94,3.12,0,part_time,11.1,11.1,9.8,0.886,21,1,0,21,1,2,5,18.5,6.9,1,2,3,1,3,3,4,3,2,1,2,3,1,5,5,5,5,1,2,2,1,3,4,3,3,2,1,2,2,1.75,3.0,1.75,5.0,1.5,3.25,1.75,3.17,3.14,3.41,1,0
146,18,0,woman,black,0,low,0,0,0,private_nonprofit,minimally_selective,6.5,stem,46,3.01,2.95,0,full_time,13.2,13.2,13.2,1.0,13,0,0,13,1,2,5,6.6,6.0,4,5,4,5,3,3,3,4,4,1,3,3,3,4,3,4,4,3,2,1,3,5,5,5,5,4,3,3,5,4.5,3.4,2.5,3.75,2.25,5.0,3.75,3.51,3.33,3.83,1,0
147,21,1,woman,hispanic_latino,1,low,1,1,0,private_for_profit,highly_selective,10.3,business,24,2.83,3.86,1,full_time,11.4,11.4,8.2,0.719,33,1,0,33,0,4,1,8.0,4.7,4,3,4,4,2,3,2,3,2,3,3,3,2,3,4,1,2,5,5,4,3,2,3,3,2,5,5,5,5,3.75,2.4,2.75,2.5,4.25,2.5,5.0,1.79,2.07,3.0,1,0
148,31,1,man,asian,0,high,0,1,0,public,open_access,5.0,business,25,3.63,3.6,0,full_time,17.9,17.9,17.9,1.0,4,0,0,4,1,2,3,16.1,7.7,3,2,3,3,4,5,3,5,3,5,5,5,5,4,4,3,3,2,1,2,2,1,2,1,3,2,1,2,1,2.75,4.0,5.0,3.5,1.75,1.75,1.5,3.88,4.0,3.92,1,0
149,42,1,woman,hispanic_latino,0,high,0,1,0,public,open_access,4.9,social_science,41,2.83,2.38,0,part_time,7.2,7.2,5.5,0.765,28,1,0,28,1,4,3,5.9,6.1,3,4,1,2,2,2,1,3,3,3,2,3,4,2,2,3,2,3,3,3,4,4,4,4,3,4,5,5,5,2.5,2.2,3.0,2.25,3.25,3.75,4.75,2.48,2.88,3.15,1,0
150,18,0,woman,multiracial_or_other,1,high,0,0,0,public,minimally_selective,7.7,social_science,28,3.02,4.5,0,full_time,15.2,15.2,14.3,0.943,14,0,0,14,0,1,4,11.5,6.6,1,2,3,1,3,5,3,4,2,2,2,3,3,4,3,3,3,1,2,2,2,4,5,2,2,2,3,2,2,1.75,3.4,2.5,3.25,1.75,3.25,2.25,3.25,3.16,3.8,1,0
151,18,0,woman,white,1,middle,1,1,0,public,open_access,3.9,stem,18,2.45,3.55,0,full_time,10.1,10.1,7.2,0.717,24,1,0,24,0,4,2,13.3,5.7,3,3,4,5,3,4,3,2,5,3,3,3,5,4,3,3,3,2,2,3,3,1,1,1,2,3,4,3,3,3.75,3.4,3.5,3.25,2.5,1.25,3.25,1.96,2.03,2.78,1,0
152,18,0,woman,multiracial_or_other,0,high,0,0,0,public,minimally_selective,5.7,stem,12,3.35,4.45,0,full_time,9.7,9.7,8.2,0.843,30,1,0,30,0,5,2,4.1,7.1,2,3,4,3,2,3,4,2,3,5,3,4,5,3,4,3,1,5,5,4,5,3,4,3,4,5,4,3,4,3.0,2.8,4.25,2.75,4.75,3.5,4.0,3.4,3.47,3.89,1,0
153,18,0,man,white,0,low,0,1,0,public,open_access,7.5,health,23,2.46,4.61,1,full_time,11.2,11.2,9.2,0.822,17,0,0,17,1,2,3,15.5,6.6,2,4,3,4,3,3,2,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,2,2,1,4,1,2,3,3.25,2.6,3.25,3.25,2.5,2.0,2.5,2.46,2.82,3.1,0,1
154,21,1,woman,multiracial_or_other,1,low,1,0,0,public,open_access,6.4,other,38,2.87,3.68,1,part_time,14.9,14.9,11.3,0.758,37,1,0,37,0,4,3,8.8,6.1,5,5,3,4,4,4,5,2,4,4,3,2,3,4,4,4,5,5,4,4,5,4,3,3,3,2,4,4,4,4.25,3.8,3.0,4.25,4.5,3.25,3.5,2.27,2.7,3.22,0,1
155,19,0,man,black,1,middle,0,0,0,public,minimally_selective,4.5,other,41,2.56,3.19,0,part_time,11.3,11.3,5.1,0.45,40,1,0,40,0,5,1,1.0,5.9,3,2,4,3,2,1,1,1,2,2,1,1,4,2,3,2,2,5,5,5,5,2,2,1,4,4,4,3,4,3.0,1.4,2.0,2.25,5.0,2.25,3.75,1.09,1.41,2.09,0,1
156,18,0,woman,black,1,middle,1,0,0,public,highly_selective,7.0,other,16,3.22,4.62,1,part_time,12.2,12.2,8.3,0.684,21,1,0,21,1,2,5,4.2,5.1,4,4,5,3,2,3,3,2,2,1,2,2,1,1,2,2,2,3,2,2,2,4,5,5,5,3,3,2,3,4.0,2.4,1.5,1.75,2.25,4.75,2.75,2.15,2.8,3.59,1,0
157,19,0,nonbinary_or_other,white,0,high,1,1,0,public,moderately_selective,6.1,stem,17,3.56,4.62,1,part_time,15.8,15.8,14.3,0.906,21,1,0,21,1,3,3,7.3,5.6,1,1,1,3,5,5,5,4,5,3,4,3,2,4,2,3,2,2,3,2,3,4,2,3,2,5,4,3,5,1.5,4.8,3.0,2.75,2.5,2.75,4.25,4.0,3.56,4.16,1,0
158,23,1,woman,white,0,high,0,0,0,public,minimally_selective,5.3,business,22,2.63,3.18,0,full_time,13.4,13.4,13.4,1.0,6,0,0,6,0,1,4,18.3,7.4,2,3,2,2,4,5,4,5,3,5,5,5,3,5,5,3,5,2,2,1,1,4,4,5,4,2,3,1,1,2.25,4.2,4.5,4.5,1.5,4.25,1.75,3.33,3.44,4.16,1,0
159,23,1,woman,white,1,high,1,1,0,private_for_profit,open_access,8.5,social_science,33,2.46,4.11,0,part_time,13.3,13.3,9.6,0.724,30,1,0,30,0,5,3,4.9,6.4,2,3,3,5,3,2,2,3,3,4,3,3,3,1,2,4,1,3,3,5,3,1,1,2,2,5,4,4,5,3.25,2.6,3.25,2.0,3.5,1.5,4.5,2.03,2.21,2.52,0,1
160,20,1,man,white,1,high,0,0,0,public,minimally_selective,3.7,health,57,2.16,3.2,0,full_time,16.4,16.4,11.2,0.681,34,1,0,34,1,4,4,1.4,6.6,1,3,1,1,3,3,3,4,3,5,5,5,3,2,3,2,2,4,3,5,3,3,2,1,3,3,3,3,2,1.5,3.2,4.5,2.25,3.75,2.25,2.75,1.76,1.85,3.54,0,1
161,33,1,woman,hispanic_latino,0,high,1,0,0,public,highly_selective,6.4,business,35,3.8,3.51,1,full_time,12.8,12.8,12.8,1.0,10,0,7,17,0,1,5,18.0,6.5,1,1,1,1,5,5,5,5,5,3,4,3,2,5,3,5,5,1,3,1,2,3,3,3,2,1,1,2,1,1.0,5.0,3.0,4.5,1.75,2.75,1.25,4.0,3.86,4.08,1,0
162,24,1,woman,hispanic_latino,1,middle,1,1,0,private_nonprofit,open_access,6.0,health,28,3.36,3.54,0,full_time,15.6,15.6,11.1,0.712,32,1,0,32,1,4,2,12.9,5.9,3,3,4,5,4,1,3,2,2,5,4,5,5,2,1,3,3,5,4,3,3,3,3,3,3,5,3,4,3,3.75,2.4,4.75,2.25,3.75,3.0,3.75,2.05,2.59,2.99,1,0
163,21,1,woman,asian,1,low,1,0,0,public,minimally_selective,7.0,health,90,3.49,4.02,0,part_time,11.0,11.0,9.3,0.849,27,1,6,33,0,4,3,13.6,6.5,4,3,4,3,4,3,4,5,4,5,4,3,2,5,5,3,3,3,1,3,2,3,2,3,2,3,2,4,4,3.5,4.0,3.5,4.0,2.25,2.5,3.25,3.09,3.22,3.59,0,1
164,19,0,woman,hispanic_latino,1,low,0,0,0,private_nonprofit,moderately_selective,5.7,business,35,3.37,3.12,0,full_time,14.7,14.7,11.3,0.771,32,1,5,37,0,3,5,11.5,6.6,3,3,4,4,5,4,2,4,3,5,4,2,3,3,3,3,1,3,4,3,4,2,1,1,3,2,1,1,2,3.5,3.6,3.5,2.5,3.5,1.75,1.5,2.43,2.66,3.53,1,0
165,23,1,man,asian,0,low,1,0,0,public,minimally_selective,5.0,health,56,3.0,3.88,0,full_time,13.7,13.7,12.2,0.891,25,1,0,25,1,3,4,12.9,6.9,3,5,4,4,3,5,4,4,4,5,5,4,5,3,2,3,2,3,3,4,3,3,4,1,3,3,3,3,2,4.0,4.0,4.75,2.5,3.25,2.75,2.75,3.01,2.77,3.77,1,0
166,19,0,man,asian,1,middle,0,1,0,private_nonprofit,moderately_selective,7.9,arts_humanities,19,2.82,3.58,0,full_time,15.4,15.4,9.4,0.609,35,1,0,35,0,3,4,7.1,6.2,5,5,4,5,3,3,3,3,4,2,3,2,3,4,3,4,4,3,4,5,3,3,3,3,3,5,5,5,5,4.75,3.2,2.5,3.75,3.75,3.0,5.0,1.53,1.91,2.6,0,1
167,19,0,woman,white,1,middle,1,0,0,public,minimally_selective,4.6,business,38,2.48,2.69,0,full_time,10.8,10.8,6.9,0.637,26,1,4,30,0,4,2,10.9,5.6,4,3,4,4,2,4,3,2,2,3,1,2,2,4,3,4,4,4,4,4,3,4,2,3,1,5,5,4,5,3.75,2.6,2.0,3.75,3.75,2.5,4.75,1.79,2.0,2.62,1,0
168,24,1,man,asian,0,middle,0,0,0,public,moderately_selective,7.4,health,12,2.63,2.91,0,full_time,11.5,11.5,9.1,0.794,25,1,0,25,0,5,1,3.7,5.8,2,3,2,4,1,2,2,2,1,4,3,3,4,4,4,2,3,5,5,5,5,1,1,2,1,4,5,4,2,2.75,1.6,3.5,3.25,5.0,1.25,3.75,2.47,2.62,3.23,0,1
169,22,1,man,hispanic_latino,1,middle,1,1,0,private_for_profit,minimally_selective,7.3,other,32,3.12,3.26,0,full_time,13.1,13.1,6.8,0.519,34,1,0,34,1,4,3,1.0,6.1,4,5,5,5,1,1,3,2,3,4,3,5,4,2,1,3,3,5,4,5,4,4,1,5,2,5,4,4,5,4.75,2.0,4.0,2.25,4.5,3.0,4.5,1.71,1.75,2.85,0,1
170,20,1,man,hispanic_latino,0,low,0,1,0,private_nonprofit,moderately_selective,8.1,business,26,3.14,4.12,0,full_time,13.5,13.5,11.8,0.877,35,1,0,35,0,5,3,10.0,6.3,5,4,3,5,4,4,2,3,4,5,4,4,5,4,3,5,3,4,4,4,3,3,4,3,4,5,3,3,4,4.25,3.4,4.5,3.75,3.75,3.5,3.75,2.67,2.83,3.69,1,0
171,23,1,woman,white,1,high,0,0,1,private_nonprofit,open_access,7.3,other,56,2.35,3.45,1,part_time,12.3,12.3,7.9,0.639,29,1,0,29,1,2,5,1.0,4.9,1,1,3,2,1,1,1,2,1,1,1,2,1,3,1,2,2,5,3,4,3,5,5,5,5,4,3,3,3,1.75,1.2,1.25,2.0,3.75,5.0,3.25,1.78,2.1,2.61,1,0
172,18,0,man,asian,1,middle,1,1,0,public,open_access,4.3,social_science,20,2.57,4.65,1,full_time,13.3,13.3,13.3,1.0,17,0,0,17,0,4,4,12.3,7.2,3,3,4,3,4,4,4,5,4,5,5,5,5,4,3,4,4,2,2,1,3,3,4,2,2,1,1,1,1,3.25,4.2,5.0,3.75,2.0,2.75,1.0,3.32,2.96,4.36,1,0
173,22,1,man,hispanic_latino,0,low,0,0,0,private_nonprofit,minimally_selective,8.4,business,60,3.37,3.69,0,part_time,10.5,10.5,7.8,0.741,26,1,0,26,0,3,2,1.0,5.4,3,4,3,4,3,2,3,2,1,2,2,3,3,2,2,1,3,5,5,3,3,1,3,3,3,3,2,4,1,3.5,2.2,2.5,2.0,4.0,2.5,2.5,2.47,2.56,2.83,1,0
174,20,1,man,hispanic_latino,1,low,0,1,0,public,minimally_selective,6.8,social_science,29,3.8,4.36,0,full_time,14.6,14.6,14.4,0.984,27,1,0,27,0,4,2,13.8,5.9,3,4,2,4,4,5,4,5,4,4,3,4,3,5,5,5,5,2,3,3,4,2,2,4,2,3,3,4,3,3.25,4.4,3.5,5.0,3.0,2.5,3.25,4.0,4.0,3.74,1,0
175,19,0,woman,white,0,high,0,1,0,public,minimally_selective,5.8,business,24,3.43,2.82,0,full_time,13.8,13.8,13.3,0.963,14,0,0,14,1,3,3,12.1,7.2,3,2,2,2,5,4,4,2,4,3,2,1,4,2,4,3,5,3,2,2,2,3,3,1,4,2,2,4,3,2.25,3.8,2.5,3.5,2.25,2.75,2.75,2.98,3.46,3.74,1,0
176,35,1,woman,white,1,low,1,0,1,public,minimally_selective,5.5,health,40,2.63,3.73,0,full_time,10.5,10.5,6.6,0.632,38,1,11,49,0,5,4,3.1,5.2,3,3,4,4,1,1,2,1,1,2,3,3,4,3,1,3,3,5,5,3,4,2,1,3,1,4,5,5,5,3.5,1.2,3.0,2.5,4.25,1.75,4.75,1.33,1.62,2.77,0,1
177,19,0,woman,white,0,middle,1,1,0,private_nonprofit,moderately_selective,7.3,stem,22,3.14,3.13,0,full_time,13.4,13.4,11.2,0.834,19,0,0,19,0,3,5,12.4,6.1,2,1,1,1,5,5,3,2,5,3,3,3,4,2,1,2,2,1,4,2,2,4,2,3,4,2,2,3,2,1.25,4.0,3.25,1.75,2.25,3.25,2.25,2.79,2.87,4.1,1,0
178,20,1,man,white,0,low,0,1,0,public,open_access,2.0,stem,64,2.23,2.66,1,part_time,10.4,10.4,8.4,0.808,15,0,0,15,1,3,3,11.2,6.2,3,2,2,3,2,5,3,2,4,1,2,1,2,3,4,4,1,2,2,2,2,4,4,3,3,3,2,4,2,2.5,3.2,1.5,3.0,2.0,3.5,2.75,2.55,2.67,3.4,1,0
179,23,1,woman,white,0,high,0,0,0,public,moderately_selective,6.6,business,32,2.51,4.07,1,part_time,11.0,11.0,8.0,0.73,27,1,4,31,0,4,4,3.7,5.9,3,2,3,4,3,2,2,3,3,3,3,3,3,1,2,2,2,3,3,3,5,1,2,3,2,3,4,5,5,3.0,2.6,3.0,1.75,3.5,2.0,4.25,1.72,1.99,3.18,1,0
180,42,1,man,hispanic_latino,1,middle,1,0,0,private_for_profit,minimally_selective,5.6,social_science,18,3.7,2.71,0,full_time,15.5,15.5,13.3,0.857,12,0,0,12,1,2,3,13.5,6.3,3,3,2,3,4,3,3,4,4,4,2,3,5,2,5,3,4,5,4,3,3,5,3,1,3,1,4,2,3,2.75,3.6,3.5,3.5,3.75,3.0,2.5,3.74,3.49,3.69,1,0
181,20,1,nonbinary_or_other,white,0,middle,0,0,0,public,moderately_selective,7.5,arts_humanities,29,2.65,3.79,0,part_time,12.3,12.3,9.0,0.728,38,1,2,40,1,5,3,4.6,5.5,4,3,3,3,3,4,5,4,3,3,4,3,3,2,2,2,1,3,2,5,5,3,4,4,3,3,4,1,4,3.25,3.8,3.25,1.75,3.75,3.5,3.0,2.48,2.47,3.44,1,0
182,23,1,woman,white,0,middle,1,1,0,public,moderately_selective,5.7,stem,32,2.29,3.8,0,full_time,14.8,14.8,13.6,0.92,11,0,5,16,0,3,3,12.3,6.4,1,3,5,3,4,5,5,5,4,5,5,4,5,5,3,4,5,3,3,1,2,1,2,1,1,3,3,5,2,3.0,4.6,4.75,4.25,2.25,1.25,3.25,2.46,2.26,3.38,1,0
183,24,1,woman,white,1,low,0,1,0,public,moderately_selective,3.4,health,31,3.3,4.79,0,full_time,12.0,12.0,9.2,0.764,26,1,0,26,1,5,2,10.0,6.3,3,3,3,5,2,2,3,1,4,3,1,2,1,5,3,4,4,4,4,3,5,3,5,3,5,3,3,3,2,3.5,2.4,1.75,4.0,4.0,4.0,2.75,2.57,2.79,3.28,0,1
184,21,1,woman,asian,0,low,1,1,0,public,open_access,5.5,health,43,2.45,3.45,1,full_time,11.0,11.0,5.8,0.528,31,1,0,31,0,4,3,1.0,5.3,5,5,5,4,1,1,2,1,1,1,3,2,2,1,2,1,2,3,4,4,4,3,5,4,3,2,3,3,3,4.75,1.2,2.0,1.5,3.75,3.75,2.75,0.91,1.26,2.09,1,0
185,20,1,man,hispanic_latino,0,low,1,1,0,public,minimally_selective,6.3,stem,37,2.65,2.65,0,full_time,12.8,12.8,7.3,0.572,29,1,2,31,1,3,4,1.0,5.3,3,5,4,5,1,2,2,2,2,3,4,5,3,1,1,2,3,3,3,4,5,4,5,4,3,5,1,5,5,4.25,1.8,3.75,1.75,3.75,4.0,4.0,0.9,1.27,2.57,0,1
186,20,1,man,hispanic_latino,1,low,1,1,0,public,minimally_selective,3.2,arts_humanities,29,2.82,3.16,0,full_time,14.0,14.0,9.3,0.665,29,1,9,38,0,5,3,4.8,7.0,4,3,4,4,4,3,3,1,3,5,5,4,3,3,2,3,3,4,3,4,3,2,2,3,3,4,1,3,5,3.75,2.8,4.25,2.75,3.5,2.5,3.25,2.34,2.36,2.97,1,0
187,42,1,man,white,1,middle,0,1,1,public,minimally_selective,6.2,business,26,2.1,2.71,0,full_time,15.5,15.5,10.0,0.648,28,1,6,34,1,1,3,1.0,6.0,4,4,3,4,1,3,3,2,1,4,3,3,4,1,1,1,1,2,2,1,3,2,4,2,3,2,4,5,3,3.75,2.0,3.5,1.0,2.0,2.75,3.5,1.32,1.41,2.75,0,1
188,22,1,man,hispanic_latino,1,low,1,1,0,public,minimally_selective,5.7,arts_humanities,58,2.56,2.89,0,full_time,13.6,13.6,7.2,0.528,42,1,8,50,0,4,4,1.0,5.1,4,4,4,4,2,1,1,1,2,2,2,3,1,1,2,1,3,5,5,4,5,5,5,3,5,2,3,4,3,4.0,1.4,2.0,1.75,4.75,4.5,3.0,1.12,2.04,2.49,1,0
189,18,0,woman,multiracial_or_other,0,high,0,1,0,public,highly_selective,6.7,stem,42,4.0,3.83,0,part_time,11.7,11.7,11.7,1.0,23,1,0,23,0,2,3,8.2,5.8,3,3,2,2,4,5,3,5,4,4,4,5,5,5,4,5,5,2,3,4,3,2,3,3,3,3,1,2,3,2.5,4.2,4.5,4.75,3.0,2.75,2.25,4.0,4.0,4.48,1,0
190,18,0,man,white,1,middle,0,0,0,public,moderately_selective,6.8,health,64,3.12,3.93,0,full_time,16.3,16.3,16.3,1.0,11,0,0,11,1,2,4,20.7,7.3,2,2,2,2,5,2,5,4,5,3,2,3,2,5,3,5,3,2,1,1,2,3,2,3,2,1,2,2,2,2.0,4.2,2.5,4.0,1.5,2.5,1.75,3.81,3.29,4.24,1,0
191,30,1,woman,hispanic_latino,1,middle,1,0,1,public,open_access,5.0,arts_humanities,32,2.01,2.99,1,full_time,16.5,16.5,11.2,0.678,19,0,0,19,0,3,3,1.3,5.3,2,1,2,2,1,2,1,1,3,3,4,5,3,1,1,1,3,4,3,5,4,2,2,3,3,3,3,5,5,1.75,1.6,3.75,1.5,4.0,2.5,4.0,2.13,1.9,3.41,0,1
192,41,1,woman,black,1,low,0,0,1,public,moderately_selective,5.6,business,61,2.46,3.78,1,full_time,14.7,14.7,9.1,0.622,28,1,0,28,0,4,2,1.0,6.2,4,3,4,2,3,3,2,2,1,3,4,3,5,2,2,3,1,3,4,3,3,1,2,2,1,5,3,4,1,3.25,2.2,3.75,2.0,3.25,1.5,3.25,1.45,1.76,2.66,1,0
193,20,1,woman,white,0,high,0,0,1,public,moderately_selective,4.7,social_science,20,3.34,4.12,1,full_time,18.0,18.0,16.5,0.919,17,0,0,17,0,1,5,10.7,6.3,3,4,1,2,4,3,4,5,4,1,3,2,1,3,2,1,1,1,2,2,3,3,4,4,1,1,2,1,2,2.5,4.0,1.75,1.75,2.0,3.0,1.5,3.26,2.91,3.53,1,0
194,21,1,woman,white,0,middle,1,0,1,public,minimally_selective,6.2,social_science,47,2.92,3.26,0,full_time,14.6,14.6,10.3,0.707,35,1,0,35,1,4,4,1.1,6.1,3,2,3,5,3,2,2,3,2,3,4,3,4,3,3,3,3,4,5,3,4,3,4,4,3,2,5,3,3,3.25,2.4,3.5,3.0,4.0,3.5,3.25,2.51,2.78,3.31,1,0
195,22,1,man,hispanic_latino,0,low,1,1,0,public,highly_selective,9.6,health,36,3.02,4.33,0,full_time,12.6,12.6,9.8,0.778,29,1,0,29,0,5,3,2.6,6.3,5,5,5,5,3,2,3,3,4,5,4,2,4,1,2,2,2,4,5,4,3,1,2,2,1,5,5,5,5,5.0,3.0,3.75,1.75,4.0,1.5,5.0,1.96,2.53,3.1,1,0
196,19,0,woman,asian,1,high,1,1,0,public,open_access,4.7,health,28,2.41,3.56,1,full_time,11.2,11.2,8.4,0.747,19,0,0,19,1,2,5,7.4,6.9,3,3,3,3,2,4,2,4,1,4,3,3,3,3,4,5,4,3,3,4,4,4,5,4,4,3,3,2,3,3.0,2.6,3.25,4.0,3.5,4.25,2.75,3.05,2.74,3.48,1,0
197,39,1,man,white,0,high,0,1,0,public,moderately_selective,6.8,health,55,3.16,3.89,0,part_time,7.4,7.4,7.1,0.965,30,1,4,34,1,4,1,15.7,6.2,1,2,2,2,5,4,2,3,5,3,2,5,3,4,5,3,5,5,4,4,2,5,5,4,4,4,4,4,3,1.75,3.8,3.25,4.25,3.75,4.5,3.75,3.6,3.75,4.07,1,0
198,22,1,man,multiracial_or_other,1,high,0,1,0,public,minimally_selective,8.8,stem,21,2.79,3.02,0,full_time,12.2,12.2,8.8,0.722,34,1,0,34,0,5,4,6.8,6.3,3,3,2,3,3,4,3,4,1,4,1,4,3,1,1,1,1,5,4,5,4,3,2,1,3,4,3,5,4,2.75,3.0,3.0,1.0,4.5,2.25,4.0,1.55,1.97,2.98,1,0
199,18,0,woman,asian,1,low,1,1,0,public,minimally_selective,6.4,stem,18,2.85,3.83,0,full_time,14.0,14.0,11.5,0.822,6,0,4,10,0,3,1,14.2,6.8,3,3,3,4,3,3,3,2,3,4,1,4,1,4,1,4,2,2,4,3,2,3,1,1,1,1,2,2,2,3.25,2.8,2.5,2.75,2.75,1.5,1.75,2.46,2.45,3.24,1,0
200,22,1,woman,white,1,middle,1,0,0,public,minimally_selective,7.6,social_science,25,3.35,4.24,0,full_time,13.1,13.1,13.1,1.0,8,0,0,8,1,2,4,16.5,6.0,5,3,4,5,4,5,4,5,3,4,3,4,3,4,4,4,3,3,2,1,2,5,5,4,5,2,3,5,5,4.25,4.2,3.5,3.75,2.0,4.75,3.75,3.63,3.72,3.75,1,0
201,19,0,woman,asian,0,high,0,1,0,public,moderately_selective,4.3,stem,31,2.97,2.99,0,full_time,13.0,13.0,11.1,0.854,17,0,1,18,0,4,3,7.7,7.3,3,2,3,3,2,2,5,4,4,1,2,3,2,2,1,2,1,2,4,2,2,1,4,5,2,3,3,4,4,2.75,3.4,2.0,1.5,2.5,3.0,3.5,2.38,2.74,3.4,1,0
